id,latitude,longitude,type
A1,3.4566453,-76.52905,collection
A2,3.4364418,-76.536365,collection
A3,3.4325117,-76.542016,collection
A4,3.4706597,-76.528517,collection
A5,3.4694912,-76.519006,collection
C1,6.167912695,-75.61879533,clasification
C2,4.487258879,-75.70354026,clasification
C3,4.487258879,-75.70354026,clasification
C4,4.487258879,-75.70354026,clasification
C5,6.173394314,-75.63165872,clasification
L1,6.1555436,-75.5672689,washing
L2,6.2056608,-75.56418828,washing
L3,6.32118747,-75.5588699,washing
P1,3.535392592,-76.49358521,producer
P2,6.086517476,-75.63504708,producer
P3,6.086517476,-75.63504708,producer
P4,6.158640901,-75.62936595,producer
P5,6.157277925,-75.62171733,producer
