origin,type_origin,destination,tipo_destination,distance_geo
A1,collection,C1,clasification,429.139
A1,collection,C2,clasification,180.303
A1,collection,C3,clasification,180.303
A1,collection,C4,clasification,180.303
A1,collection,C5,clasification,427.923
A2,collection,C1,clasification,432.237
A2,collection,C2,clasification,183.401
A2,collection,C3,clasification,183.401
A2,collection,C4,clasification,183.401
A2,collection,C5,clasification,431.021
A3,collection,C1,clasification,432.696
A3,collection,C2,clasification,183.861
A3,collection,C3,clasification,183.861
A3,collection,C4,clasification,183.861
A3,collection,C5,clasification,431.48
A4,collection,C1,clasification,429.66
A4,collection,C2,clasification,180.824
A4,collection,C3,clasification,180.824
A4,collection,C4,clasification,180.824
A4,collection,C5,clasification,428.444
A5,collection,C1,clasification,427.978
A5,collection,C2,clasification,179.143
A5,collection,C3,clasification,179.143
A5,collection,C4,clasification,179.143
A5,collection,C5,clasification,426.762
C1,clasification,L1,washing,8.48
C1,clasification,L2,washing,9.446
C1,clasification,L3,washing,21.868
C2,clasification,L1,washing,299.391
C2,clasification,L2,washing,300.765
C2,clasification,L3,washing,313.175
C3,clasification,L1,washing,299.391
C3,clasification,L2,washing,300.765
C3,clasification,L3,washing,313.175
C4,clasification,L1,washing,299.391
C4,clasification,L2,washing,300.765
C4,clasification,L3,washing,313.175
C5,clasification,L1,washing,9.541
C5,clasification,L2,washing,11.08
C5,clasification,L3,washing,23.503
L1,washing,P1,producer,423.226
L1,washing,P2,producer,18.011
L1,washing,P3,producer,18.011
L1,washing,P4,producer,9.289
L1,washing,P5,producer,8.295
L2,washing,P1,producer,425.568
L2,washing,P2,producer,20.353
L2,washing,P3,producer,20.353
L2,washing,P4,producer,11.63
L2,washing,P5,producer,10.637
L3,washing,P1,producer,436.365
L3,washing,P2,producer,31.15
L3,washing,P3,producer,31.15
L3,washing,P4,producer,22.427
L3,washing,P5,producer,21.434
